setting,e_beam_GeV,hms_p_GeV,hms_angle_deg,shms_p_GeV,shms_angle_deg,dp_idx,dp_label,dp_lo,dp_hi,var,norm_win_lo,norm_win_hi,intD_win,intS_win,sim_scale,entriesD,entriesS,muD_MeV,muD_err_MeV,sigD_MeV,sigD_err_MeV,statusD,chi2D,ndfD,muS_MeV,muS_err_MeV,sigS_MeV,sigS_err_MeV,statusS,chi2S,ndfS,offset_MeV,offset_err_MeV,fit_valid
E,10.671600,4.720000,26.395000,-6.604800,18.560000,1,b1,-2.000000,-1.000000,Pmy,-0.030059,0.040361,583.000000,0.104887,5558.343421,736.000000,10131.000000,4.536373,0.516855,11.361238,0.474801,0,30.074335,9,-0.068650,0.077601,7.393706,0.058706,0,11.250721,5,4.605024,0.522648,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,2,b2,-1.000000,0.000000,W,0.870984,1.001204,513.000000,0.091788,5588.991383,843.000000,11207.000000,932.444121,1.840368,33.613206,2.045013,0,23.154717,15,948.576196,0.306291,25.402682,0.290320,0,93.903415,13,-16.132075,1.865682,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,2,b2,-1.000000,0.000000,Em,-0.029347,0.003078,438.000000,0.017031,25717.884474,843.000000,11207.000000,-12.950017,0.399916,7.174781,0.386671,0,23.704506,14,6.934025,0.054154,4.100603,0.046237,0,271.350003,9,-19.884042,0.403566,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,2,b2,-1.000000,0.000000,Pmz,-0.030067,0.045654,519.000000,0.084555,6138.029918,843.000000,11207.000000,11.827711,0.486658,10.450321,0.540254,0,37.974077,10,-6.972023,0.083234,6.198023,0.062536,0,836.748944,7,18.799734,0.493724,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,2,b2,-1.000000,0.000000,Pmy,-0.024927,0.035954,710.000000,0.126755,5601.366557,843.000000,11207.000000,4.623454,0.389652,10.045290,0.361466,0,18.242750,7,0.611652,0.073351,7.402628,0.058023,0,16.714753,5,4.011802,0.396496,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,3,b3,0.000000,1.000000,W,0.868625,1.000279,618.000000,0.107054,5772.761351,944.000000,11218.000000,933.901864,1.818495,36.790752,1.897462,0,13.868581,16,948.615644,0.280388,23.306037,0.270684,0,45.550166,11,-14.713780,1.839984,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,3,b3,0.000000,1.000000,Em,-0.028945,0.004333,539.000000,0.034211,15755.027484,944.000000,11218.000000,-12.981576,0.345882,6.950684,0.370079,0,28.786355,13,7.194241,0.053800,4.191162,0.053699,0,265.607789,8,-20.175817,0.350041,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,3,b3,0.000000,1.000000,Pmz,-0.029676,0.041158,635.000000,0.096433,6584.905212,944.000000,11218.000000,9.970421,0.559639,10.825813,0.548076,0,68.143474,9,-6.891222,0.075713,5.818623,0.059306,0,941.066159,6,16.861644,0.564738,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,3,b3,0.000000,1.000000,Pmy,-0.022580,0.034685,811.000000,0.140125,5787.678540,944.000000,11218.000000,6.441086,0.394477,10.859543,0.362226,0,11.727960,7,0.644369,0.070351,7.202693,0.055339,0,15.449649,5,5.796717,0.400701,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,4,b4,1.000000,2.000000,W,0.882345,1.000764,646.000000,0.120229,5373.081197,974.000000,10922.000000,943.204515,1.526457,31.544932,1.592641,0,16.289349,14,948.842284,0.264748,22.235336,0.247503,0,73.497270,11,-5.637769,1.549246,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,4,b4,1.000000,2.000000,Em,-0.025723,0.005389,553.000000,0.042099,13135.645846,974.000000,10922.000000,-10.702904,0.399318,7.454924,0.381165,0,29.467450,13,6.784790,0.054168,4.056018,0.046451,0,326.528118,9,-17.487694,0.402975,1
E,10.671600,4.720000,26.395000,-6.604800,18.560000,4,b4,1.000000,2.000000,Pmz,-0.033767,0.041432,678.000000,0.111768,6066.130563,974.000000,10922.000000,8.866171,0.594061,10.164311,0.523581,0,87.965930,10,-6.405710,0.072415,5.357841,0.048870,0,1066.385307,6,15.271881,0.598459,1
