run,spec,run_type,target,hms_p,shms_p,fit_variable,all_events,selected_events,fit_mean,fit_sigma,fit_entries,fit_attempted,fit_status,fit_valid,covariance_status,fit_chi2,fit_ndf,fit_chi2_ndf,fit_edm,candidate_mean,candidate_sigma,failure_reason,status
24006,coin,PI-SIDIS,Cu,-1.531,-4.868,CTime.ePiCoinTime_ROC2,416893,5384,51.3807,0.293917,5384,1,0,1,3,3.19082,3,1.06361,1.41374e-06,51.3807,0.293917,,OK
24007,coin,PI-SIDIS,Cu,-1.531,-4.868,CTime.ePiCoinTime_ROC2,412314,5323,51.3546,0.277835,5323,1,0,1,3,7.72671,3,2.57557,2.93289e-07,51.3546,0.277835,,OK
24008,coin,PI-SIDIS,Cu,-1.531,-4.868,CTime.ePiCoinTime_ROC2,113601,1407,51.4134,0.314885,1407,1,0,1,3,3.35621,3,1.11874,1.26752e-06,51.4134,0.314885,,OK
24009,coin,PI-SIDIS,Cu,-1.531,-4.868,CTime.ePiCoinTime_ROC2,575934,7272,51.3618,0.319804,7272,1,0,1,3,2.70081,3,0.90027,1.10298e-07,51.3618,0.319804,,OK
24010,coin,PI-SIDIS,Cu,-1.531,-4.868,CTime.ePiCoinTime_ROC2,512560,6413,51.3534,0.298677,6413,1,0,1,3,14.0945,3,4.69816,3.45946e-06,51.3534,0.298677,,OK
24011,coin,PI-SIDIS,LH2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,322140,5758,51.3494,0.304889,5758,1,0,1,3,16.7349,3,5.5783,4.89125e-07,51.3494,0.304889,,OK
24012,coin,PI-SIDIS,LH2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,326501,5721,51.3385,0.298384,5721,1,0,1,3,3.04082,3,1.01361,3.84346e-07,51.3385,0.298384,,OK
24013,coin,PI-SIDIS,LH2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,358020,6278,51.3372,0.299149,6278,1,0,1,3,12.5678,3,4.18926,1.7049e-07,51.3372,0.299149,,OK
24014,coin,PI-SIDIS,LH2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,335343,5950,51.3306,0.287132,5950,1,0,1,3,5.10839,3,1.7028,1.83358e-08,51.3306,0.287132,,OK
24015,coin,PI-SIDIS,LH2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,170788,3205,51.3506,0.280613,3205,1,0,1,3,11.9542,3,3.98472,2.07927e-06,51.3506,0.280613,,OK
24016,coin,PI-SIDIS,LH2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,48456,1055,51.3519,0.297573,1055,1,0,1,3,4.84846,3,1.61615,8.70817e-06,51.3519,0.297573,,OK
24019,coin,PI-SIDIS,LD2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,458909,6674,51.339,0.284516,6674,1,0,1,3,4.86658,3,1.62219,4.48952e-08,51.339,0.284516,,OK
