run,setting,ebeam_MeV,dp_idx,dp_label,dp_lo,dp_hi,dp_center,var,entries,fit_lo_GeV,fit_hi_GeV,mu_seed_GeV,sig_seed_GeV,peak_GeV,peak_err_GeV,sigma_GeV,sigma_err_GeV,peak_MeV,peak_err_MeV,sigma_MeV,sigma_err_MeV,fit_status,chi2,ndf,chi2_ndf,fit_valid
23847,A,8583.100000,3,b3,0.000000,1.000000,0.500000,W,51757.000000,0.913673,1.010273,0.961973,0.024150,0.959981,0.000104,0.020206,0.000102,959.981132,0.103987,20.206021,0.102007,0,768.131714,11,69.830156,1
23847,A,8583.100000,3,b3,0.000000,1.000000,0.500000,Em,51757.000000,0.005717,0.034066,0.019892,0.007087,0.019319,0.000039,0.006550,0.000038,19.319251,0.039443,6.550062,0.037845,0,1171.837154,11,106.530650,1
23847,A,8583.100000,4,b4,1.000000,2.000000,1.500000,W,33060.000000,0.926454,1.004234,0.965344,0.019445,0.964716,0.000099,0.015917,0.000092,964.716317,0.098629,15.917408,0.092094,0,234.388856,8,29.298607,1
23847,A,8583.100000,4,b4,1.000000,2.000000,1.500000,Em,33060.000000,0.010360,0.038358,0.024359,0.006999,0.023790,0.000042,0.006262,0.000039,23.789750,0.041944,6.262031,0.039080,0,336.903216,11,30.627565,1
23847,A,8583.100000,5,b5,2.000000,3.000000,2.500000,W,1549.000000,0.929514,1.000902,0.965208,0.017847,0.965380,0.000402,0.013615,0.000370,965.379635,0.401656,13.614563,0.369665,0,14.832200,7,2.118886,1
23847,A,8583.100000,5,b5,2.000000,3.000000,2.500000,Em,1549.000000,0.012475,0.037457,0.024966,0.006246,0.025737,0.000168,0.005532,0.000154,25.736706,0.168060,5.532472,0.154351,0,9.368854,10,0.936885,1
23848,A,8583.100000,0,full,-10.000000,20.000000,-999.000000,W,171424.000000,0.911506,1.011978,0.961742,0.025118,0.959200,0.000069,0.021247,0.000070,959.199634,0.068783,21.246800,0.069858,0,1940.096171,11,176.372379,1
23848,A,8583.100000,0,full,-10.000000,20.000000,-999.000000,Em,171424.000000,0.005652,0.034417,0.020034,0.007191,0.019546,0.000026,0.006834,0.000025,19.545699,0.026307,6.834024,0.025337,0,2114.280088,11,192.207281,1
23848,A,8583.100000,1,b1,-2.000000,-1.000000,-1.500000,W,25976.000000,0.904724,1.006804,0.955764,0.025520,0.953031,0.000188,0.021744,0.000199,953.031137,0.188410,21.744314,0.199154,0,626.640285,11,56.967299,1
23848,A,8583.100000,1,b1,-2.000000,-1.000000,-1.500000,Em,25976.000000,0.004068,0.032256,0.018162,0.007047,0.016994,0.000055,0.005504,0.000052,16.994400,0.055264,5.504469,0.051781,0,553.607602,11,50.327964,1
23848,A,8583.100000,2,b2,-1.000000,0.000000,-0.500000,W,38381.000000,0.906870,1.008328,0.957599,0.025365,0.954846,0.000136,0.021259,0.000133,954.845558,0.136173,21.258578,0.132632,0,575.430251,11,52.311841,1
23848,A,8583.100000,2,b2,-1.000000,0.000000,-0.500000,Em,38381.000000,0.004333,0.031890,0.018111,0.006889,0.017126,0.000041,0.005656,0.000038,17.125826,0.041278,5.655781,0.037645,0,1028.681005,11,93.516455,1
23848,A,8583.100000,3,b3,0.000000,1.000000,0.500000,W,40850.000000,0.913989,1.010184,0.962086,0.024049,0.960161,0.000118,0.020513,0.000116,960.160886,0.118279,20.513414,0.116376,0,556.571996,11,50.597454,1
23848,A,8583.100000,3,b3,0.000000,1.000000,0.500000,Em,40850.000000,0.005844,0.034135,0.019990,0.007073,0.019430,0.000044,0.006518,0.000042,19.429540,0.043928,6.518007,0.041695,0,865.626990,11,78.693363,1
23848,A,8583.100000,4,b4,1.000000,2.000000,1.500000,W,26169.000000,0.926155,1.004329,0.965242,0.019544,0.964701,0.000112,0.015984,0.000105,964.701084,0.111652,15.984276,0.105487,0,209.082167,8,26.135271,1
23848,A,8583.100000,4,b4,1.000000,2.000000,1.500000,Em,26169.000000,0.010181,0.038424,0.024303,0.007061,0.023755,0.000047,0.006234,0.000044,23.754516,0.046896,6.234418,0.043725,0,271.446359,11,24.676942,1
23848,A,8583.100000,5,b5,2.000000,3.000000,2.500000,W,1221.000000,0.930497,0.999875,0.965186,0.017344,0.965163,0.000451,0.013543,0.000405,965.163444,0.450771,13.542552,0.405145,0,19.423348,7,2.774764,1
23848,A,8583.100000,5,b5,2.000000,3.000000,2.500000,Em,1221.000000,0.011473,0.037535,0.024504,0.006515,0.025407,0.000192,0.005533,0.000168,25.406600,0.191735,5.533039,0.168479,0,8.528977,10,0.852898,1
23849,B,8583.100000,0,full,-10.000000,20.000000,-999.000000,W,18153.000000,0.910795,1.025869,0.968332,0.028769,0.967030,0.000282,0.027996,0.000280,967.030267,0.281816,27.996308,0.280448,0,67.369986,14,4.812142,1
23849,B,8583.100000,0,full,-10.000000,20.000000,-999.000000,Em,18153.000000,-0.007438,0.027751,0.010156,0.008797,0.009920,0.000111,0.009315,0.000112,9.920214,0.111407,9.315145,0.111757,0,180.020996,15,12.001400,1
