toy,success,message,nit,nfev,chi2,max_abs_pull,exact_inversion_flag,physical_branch_flag,dpe_C,dpe_E,dpe_D,dtheta_e_C,dtheta_e_E,dtheta_e_D,dtheta_p_common,dpp_common
111,True,Optimization terminated successfully.,3049,4518,25.339094,2.567648,0,1,1.107204,1.187185,1.148307,-0.612976,-0.627788,-0.885880,-1.355589,1.293625
112,True,Optimization terminated successfully.,1972,2987,39.221223,3.034099,0,1,1.625850,1.776880,1.735128,-0.816823,-0.990874,-1.174399,-1.153294,0.528663
113,True,Optimization terminated successfully.,2373,3543,42.529884,4.029031,0,1,1.855118,1.976309,1.960938,-0.943603,-1.022711,-1.218651,-0.953380,0.230208
114,True,Optimization terminated successfully.,3062,4533,24.408657,2.469140,0,1,1.409183,1.513803,1.450308,-0.666124,-0.853175,-1.089025,-1.194178,0.893805
115,True,Optimization terminated successfully.,3048,4488,21.213025,2.074032,0,1,0.660374,0.754457,0.692288,-0.448930,-0.491450,-0.679687,-1.565721,2.034851
116,True,Optimization terminated successfully.,2735,4063,63.800715,4.115537,0,1,1.268968,1.280777,1.279499,-0.626487,-0.779028,-1.008541,-1.337646,1.168930
117,True,Optimization terminated successfully.,2500,3741,38.105600,2.797712,0,1,1.743266,1.793166,1.804120,-0.855724,-0.956203,-1.184220,-1.036654,0.412768
118,True,Optimization terminated successfully.,2606,3858,37.396162,2.792952,0,1,1.051127,1.197389,1.174932,-0.538531,-0.659136,-0.928578,-1.386934,1.354206
119,True,Optimization terminated successfully.,2869,4277,27.100737,2.756409,0,1,1.308221,1.498327,1.395039,-0.633346,-0.810587,-0.977168,-1.206936,1.034239
120,True,Optimization terminated successfully.,3222,4800,35.558571,2.807302,0,1,6.511457,6.674247,6.580433,-2.919068,-3.045514,-3.276796,1.682364,-6.336445
121,True,Optimization terminated successfully.,2654,3944,42.267273,3.057704,0,1,1.509891,1.643521,1.647205,-0.713910,-0.909656,-1.070577,-1.113311,0.690844
122,True,Optimization terminated successfully.,3338,4972,39.951233,3.688829,0,1,1.706036,1.850735,1.827942,-0.823171,-0.979331,-1.176552,-1.033146,0.463181
123,True,Optimization terminated successfully.,3012,4460,22.071664,2.691231,0,1,2.469712,2.656176,2.572818,-1.192812,-1.367025,-1.577576,-0.645642,-0.639833
124,True,Optimization terminated successfully.,2797,4186,20.126762,2.106877,0,1,3.088203,3.200974,3.158362,-1.387555,-1.529281,-1.758922,-0.270298,-1.497466
125,True,Optimization terminated successfully.,2689,4006,28.674264,3.073508,0,1,1.434494,1.596211,1.556871,-0.755100,-0.863643,-1.101054,-1.170176,0.750284
126,True,Optimization terminated successfully.,2833,4219,42.388141,3.887880,0,1,0.670663,0.826537,0.775979,-0.389380,-0.542501,-0.717915,-1.580950,1.948006
127,True,Optimization terminated successfully.,3364,5053,58.110704,3.681375,0,1,1.888036,1.979970,1.888984,-1.000526,-1.091843,-1.307547,-1.126411,0.227692
128,True,Optimization terminated successfully.,3179,4759,30.191849,2.656761,0,1,-2.888432,-2.790519,-2.816641,1.136397,1.028617,0.769836,-3.613187,6.985459
129,True,Optimization terminated successfully.,2782,4166,27.812249,3.009974,0,1,4.913869,5.060945,5.067399,-2.272316,-2.383331,-2.634562,0.769804,-4.113945
130,True,Optimization terminated successfully.,2712,4050,25.102346,2.304464,0,1,2.290480,2.422848,2.293008,-1.091685,-1.248308,-1.404280,-0.740547,-0.332308
131,True,Optimization terminated successfully.,2862,4253,39.174184,2.845866,0,1,1.378711,1.485869,1.444331,-0.718912,-0.798375,-1.082031,-1.245507,0.969827
132,True,Optimization terminated successfully.,2529,3787,21.019917,2.014914,0,1,1.788834,1.900611,1.842218,-0.826756,-0.975815,-1.221392,-0.993025,0.373176
133,True,Optimization terminated successfully.,2713,4066,36.469758,2.947124,0,1,1.887180,1.978354,1.950911,-0.944593,-1.102128,-1.240079,-0.976101,0.164595
134,True,Optimization terminated successfully.,3072,4573,26.506230,2.278055,0,1,2.024081,2.128946,2.093239,-0.992230,-1.125666,-1.308362,-0.874797,0.044490
135,True,Optimization terminated successfully.,2562,3837,33.549231,2.717278,0,1,1.442228,1.554776,1.500529,-0.739200,-0.877384,-1.009578,-1.276178,0.808775
136,True,Optimization terminated successfully.,3265,4863,40.980099,2.795173,0,1,-1.453351,-1.302781,-1.327466,0.520295,0.381364,0.242056,-2.709462,4.929752
137,True,Optimization terminated successfully.,2907,4362,29.438399,2.543062,0,1,-0.090336,0.065472,-0.029863,-0.082406,-0.234288,-0.406128,-2.045650,3.024283
138,True,Optimization terminated successfully.,3123,4672,39.025208,2.717101,0,1,13.139434,13.207082,13.279981,-5.848658,-5.985875,-6.222570,5.178353,-15.754303
139,True,Optimization terminated successfully.,2779,4162,26.756695,2.753884,0,1,1.710111,1.913946,1.788479,-0.835015,-0.912429,-1.094555,-0.902946,0.445536
140,True,Optimization terminated successfully.,2311,3476,16.753931,2.102485,0,1,1.557327,1.706796,1.705421,-0.772797,-0.905961,-1.122524,-1.108301,0.670412
141,True,Optimization terminated successfully.,2882,4288,47.004996,3.669442,0,1,1.574672,1.717657,1.682811,-0.800618,-0.932324,-1.108304,-1.087430,0.604037
142,True,Optimization terminated successfully.,2989,4485,33.738760,2.600116,0,1,2.026553,2.169681,2.122489,-0.970202,-1.149578,-1.282243,-0.932433,0.015476
143,True,Optimization terminated successfully.,2896,4348,39.066443,3.494415,0,1,3.475769,3.602649,3.552906,-1.576314,-1.771826,-2.006510,-0.127198,-2.026079
144,True,Optimization terminated successfully.,3402,5055,21.574232,2.338387,0,1,-1.062704,-0.886093,-0.958121,0.408570,0.155408,0.003513,-2.562782,4.361365
145,True,Optimization terminated successfully.,2499,3737,34.077397,3.117167,0,1,1.249077,1.385890,1.334790,-0.677239,-0.748460,-1.053127,-1.315206,1.083289
146,True,Optimization terminated successfully.,2838,4214,19.816853,2.147992,0,1,1.304358,1.411759,1.306917,-0.675519,-0.792667,-0.969554,-1.307463,1.146169
147,True,Optimization terminated successfully.,3032,4516,22.347724,2.434214,0,1,2.407058,2.608023,2.534985,-1.135551,-1.278582,-1.490008,-0.573289,-0.560079
148,True,Optimization terminated successfully.,3136,4692,44.010978,3.308183,0,1,1.120717,1.319244,1.206440,-0.673664,-0.795850,-0.928490,-1.404687,1.289282
149,True,Optimization terminated successfully.,2625,3954,29.362486,2.733672,0,1,2.952804,3.152961,3.055094,-1.372249,-1.574831,-1.753395,-0.357313,-1.337535
150,True,Optimization terminated successfully.,3229,4782,58.345060,4.159490,0,1,0.851813,1.004591,0.959407,-0.544216,-0.585591,-0.783634,-1.527835,1.641958
151,True,Optimization terminated successfully.,2935,4385,27.240369,2.386529,0,1,2.224693,2.357489,2.287661,-1.128256,-1.211434,-1.426982,-0.780299,-0.279717
152,True,Optimization terminated successfully.,2737,4079,33.754562,2.691038,0,1,0.495649,0.666453,0.516773,-0.318413,-0.488418,-0.610838,-1.720355,2.153934
153,True,Optimization terminated successfully.,3106,4635,34.423729,2.832063,0,1,-0.009126,0.176247,0.165862,-0.097526,-0.260208,-0.528997,-1.992910,2.840444
154,True,Optimization terminated successfully.,3063,4533,16.525956,2.371438,0,1,2.626121,2.765999,2.798392,-1.266340,-1.388592,-1.617221,-0.521159,-0.853384
155,True,Optimization terminated successfully.,2564,3878,23.781552,2.643521,0,1,1.403974,1.510880,1.491842,-0.748216,-0.785040,-1.007432,-1.180605,0.916525
156,True,Optimization terminated successfully.,3219,4770,78.624228,4.363231,0,1,1.593798,1.741459,1.689067,-0.753460,-0.872268,-1.139095,-0.994395,0.637979
157,True,Optimization terminated successfully.,2898,4287,48.319386,3.213187,0,1,1.231292,1.370054,1.338166,-0.577488,-0.776204,-0.898006,-1.238101,1.117207
158,True,Optimization terminated successfully.,3224,4795,28.600991,2.874740,0,1,0.586906,0.676939,0.557287,-0.383866,-0.476623,-0.667729,-1.741837,2.143035
159,True,Optimization terminated successfully.,2571,3853,13.831567,1.635395,0,1,1.243511,1.343340,1.288281,-0.685780,-0.816385,-1.022445,-1.336753,1.133701
160,True,Optimization terminated successfully.,2655,3972,41.802527,2.956484,0,1,1.554476,1.616293,1.604161,-0.785701,-0.889333,-1.068164,-1.198130,0.736513
161,True,Optimization terminated successfully.,2637,3962,44.208878,3.558375,0,1,-0.027162,0.060691,0.064647,-0.086077,-0.230709,-0.454772,-1.995107,2.993284
162,True,Optimization terminated successfully.,2692,4003,36.460816,2.540582,0,1,1.469588,1.645333,1.608267,-0.723010,-0.821698,-1.090967,-1.160938,0.779952
163,True,Optimization terminated successfully.,2588,3851,42.466706,3.238973,0,1,2.120251,2.256166,2.182257,-0.977932,-1.123851,-1.456741,-0.820460,-0.124684
