setting,run,dp_idx,dp_label,dp_lo,dp_hi,bin_center,var,used_in_fit,used_in_summary,fit_valid,y_obs_MeV,y_err_MeV,coeff_dthe,coeff_dpe,coeff_dthp,coeff_dpp,fixed_dthe_mrad,fixed_dthp_mrad,fixed_dpp_tenthpct,fixed_term_MeV,dpe_fit_tenthpct,dpe_fit_err_tenthpct,y_pred_MeV,resid_MeV
A,23845,3,b3,0,1,0.5,Em,1,1,1,13.6252,0.050961,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-0.959946,0.00195766,13.7072,-0.0820051
A,23845,3,b3,0,1,0.5,Pmz,1,1,1,-9.77282,0.075936,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-0.959946,0.00195766,-9.70178,-0.0710404
A,23845,3,b3,0,1,0.5,Pmy,1,1,1,10.0665,0.069835,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.959946,0.00195766,9.59431,0.472192
A,23846,3,b3,0,1,0.5,W,1,1,1,15.1335,0.141123,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-0.959946,0.00195766,12.4987,2.63479
A,23846,3,b3,0,1,0.5,Em,1,1,1,13.7668,0.046428,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-0.959946,0.00195766,13.7072,0.0595489
A,23846,3,b3,0,1,0.5,Pmz,1,1,1,-9.91107,0.07087,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-0.959946,0.00195766,-9.70178,-0.209292
A,23846,3,b3,0,1,0.5,Pmy,1,1,1,10.0079,0.065678,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.959946,0.00195766,9.59431,0.413617
A,23847,3,b3,0,1,0.5,W,1,1,1,15.2278,0.149208,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-0.959946,0.00195766,12.4987,2.72907
A,23847,3,b3,0,1,0.5,Em,1,1,1,13.8279,0.050196,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-0.959946,0.00195766,13.7072,0.120695
A,23847,3,b3,0,1,0.5,Pmz,1,1,1,-9.93936,0.075754,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-0.959946,0.00195766,-9.70178,-0.237583
A,23847,3,b3,0,1,0.5,Pmy,1,1,1,10.151,0.069834,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.959946,0.00195766,9.59431,0.556691
A,23848,3,b3,0,1,0.5,W,1,1,1,15.4076,0.159498,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-0.959946,0.00195766,12.4987,2.90882
A,23848,3,b3,0,1,0.5,Em,1,1,1,13.9382,0.053793,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-0.959946,0.00195766,13.7072,0.230983
A,23848,3,b3,0,1,0.5,Pmz,1,1,1,-10.0147,0.081635,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-0.959946,0.00195766,-9.70178,-0.312959
A,23848,3,b3,0,1,0.5,Pmy,1,1,1,9.96982,0.073576,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.959946,0.00195766,9.59431,0.375503
A,23839,4,b4,1,2,1.5,W,1,1,1,19.5595,0.225517,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-1.41173,0.00269124,16.3931,3.1664
A,23839,4,b4,1,2,1.5,Em,1,1,1,16.2162,0.082327,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-1.41173,0.00269124,16.8968,-0.680597
A,23839,4,b4,1,2,1.5,Pmz,1,1,1,-9.52773,0.113178,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-1.41173,0.00269124,-11.5541,2.02638
A,23839,4,b4,1,2,1.5,Pmy,1,1,1,12.6327,0.134459,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-1.41173,0.00269124,6.99653,5.63614
A,23840,4,b4,1,2,1.5,W,1,1,1,20.9759,0.190481,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-1.41173,0.00269124,16.3931,4.58278
A,23840,4,b4,1,2,1.5,Em,1,1,1,17.9738,0.065461,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-1.41173,0.00269124,16.8968,1.07693
A,23840,4,b4,1,2,1.5,Pmz,1,1,1,-10.697,0.09472,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-1.41173,0.00269124,-11.5541,0.857063
A,23840,4,b4,1,2,1.5,Pmy,1,1,1,12.7304,0.111824,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-1.41173,0.00269124,6.99653,5.73385
A,23841,4,b4,1,2,1.5,W,1,1,1,21.0266,0.242743,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-1.41173,0.00269124,16.3931,4.63344
A,23841,4,b4,1,2,1.5,Em,1,1,1,18.1978,0.090801,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-1.41173,0.00269124,16.8968,1.30096
A,23841,4,b4,1,2,1.5,Pmz,1,1,1,-10.9365,0.12408,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-1.41173,0.00269124,-11.5541,0.617582
A,23841,4,b4,1,2,1.5,Pmy,1,1,1,12.5779,0.146471,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-1.41173,0.00269124,6.99653,5.58136
A,23842,4,b4,1,2,1.5,W,1,1,1,21.0157,0.212569,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-1.41173,0.00269124,16.3931,4.62257
A,23842,4,b4,1,2,1.5,Em,1,1,1,18.2151,0.076541,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-1.41173,0.00269124,16.8968,1.31825
A,23842,4,b4,1,2,1.5,Pmz,1,1,1,-10.9523,0.107846,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-1.41173,0.00269124,-11.5541,0.601784
A,23842,4,b4,1,2,1.5,Pmy,1,1,1,12.7004,0.127567,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-1.41173,0.00269124,6.99653,5.70385
A,23844,4,b4,1,2,1.5,W,1,1,1,21.1557,0.194936,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-1.41173,0.00269124,16.3931,4.76252
A,23844,4,b4,1,2,1.5,Em,1,1,1,18.1565,0.067398,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-1.41173,0.00269124,16.8968,1.25969
A,23844,4,b4,1,2,1.5,Pmz,1,1,1,-10.8972,0.096954,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-1.41173,0.00269124,-11.5541,0.656889
A,23844,4,b4,1,2,1.5,Pmy,1,1,1,12.7171,0.114277,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-1.41173,0.00269124,6.99653,5.72052
A,23845,4,b4,1,2,1.5,W,1,1,1,21.1419,0.196844,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-1.41173,0.00269124,16.3931,4.74874
A,23845,4,b4,1,2,1.5,Em,1,1,1,18.1384,0.068835,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-1.41173,0.00269124,16.8968,1.24156
A,23845,4,b4,1,2,1.5,Pmz,1,1,1,-10.811,0.097892,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-1.41173,0.00269124,-11.5541,0.743149
A,23845,4,b4,1,2,1.5,Pmy,1,1,1,12.6134,0.116301,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-1.41173,0.00269124,6.99653,5.61683
A,23846,4,b4,1,2,1.5,W,1,1,1,21.2883,0.191457,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-1.41173,0.00269124,16.3931,4.89514
